Id,Designator,Package,Quantity,Designation,Supplier and ref
1,"Q28,Q24,Q11,Q20,Q25,Q26,Q27,Q29,Q30,Q31,Q32,Q33",TO-252-2,12,IPD60N10S4L-12,
2,"C17,C18,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C21,C28,C29,C30,C32,C42,C43,C46,C47,C49,C53,C55,C60,C64,C65,C66,C67",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,31,100n,
3,U5,SOIC-8_3.9x4.9mm_P1.27mm,1,ATA6561,
4,"D39,D33,D36,D40,D41",D_SOD-323_HandSoldering,5,12V,
5,"JP3,JP1,JP2,JP4,JP5,JP6,JP7,JP8,JP9,JP10,JP11,JP12,JP13,JP14,JP15,JP17",SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,16,SolderJumper_2_Open,
6,"R54,R22,R24,R26,R28,R30,R33,R35,R37,R39,R41,R48,R49,R57,R59,R60,R63,R64,R65,R67,R69,R70,R71,R72,R73,R80,R93,R97",R_0805_2012Metric_Pad1.15x1.40mm_HandSolder,28,10K,
7,"D25,D31,D30,D21,D23,D22",D_SOD-123,6,D,
8,"Q12,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q13,Q14,Q15,Q17,Q18,Q21",SOT-23,17,RUC002N05HZGT116,
9,"TH1,TH2,TH3,TH4,TH5,TH6,TH7",R_0603_1608Metric_Pad1.05x0.95mm_HandSolder,7,10K,
10,"BT1,BT2,BT3,BT4,BT5,BT6,BT7,BT8,BT9,BT10",Battery_18650_Cell_Pair,10,VTC4,
11,"C13,C14,C23,C24,C58,C62,C31",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,7,1u,
12,"C15,C16,C25,C26,C33,C35,C36,C37,C38,C39,C40,C41,C48,C59,C61,C63",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,16,10n,
13,"C19,C20,C54",C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,3,10u,
14,"C22,C27,C34,C44,C45,C56",C_0805_2012Metric_Pad1.15x1.40mm_HandSolder,6,4.7u,
15,"C50,C51",C_1206_3216Metric_Pad1.42x1.75mm_HandSolder,2,C,
16,"C52,C57",CP_Radial_D8.0mm_P3.50mm,2,33u,
